NOTE  |Authors: AnDrOmEdA - ver. 1.0 - 04.11.2016
NOTE  |Attack: EQ-BOWL, 1 side, Extreme TH/Dark Elixir Attack.
NOTE  |TH9 Make these Troops and Spells: 19 Bowlers,3 wbs,6 Wizards,6 Healers,3 Rage,4 EQ,1 Hastle
NOTE  |Alternative Troops and Spells: 23 Bowlers,3 wbs,6 Healers,3 Rage,4 EQ,1 Hastle
NOTE  |Troops and Spells supported: 6 Giants,16/26 Bowlers,6 wbs,6 Wizards,6 Healers,3 Rage,4 EQ, 2 Jump,1 Hastle

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |           |           |           |           |           |           |10         |EAGLE      |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-LEFT |10         |1          |INT-EXT    |0          |5          |           |
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |5          |           |
MAKE  |C          |FRONT-RIGHT|10         |1          |EXT-INT    |0          |5          |           |  
MAKE  |D          |FRONT-LEFT |10         |1          |EXT-INT    |0          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |-12        |EXT-INT    |0          |0          |           |   
MAKE  |F          |FRONT-LEFT |10         |-13        |EXT-INT    |0          |0          |           |
MAKE  |G          |FRONT-LEFT |10         |-7         |EXT-INT    |0          |0          |           |
MAKE  |H          |FRONT-LEFT |10         |-18        |EXT-INT    |0          |0          |           |
MAKE  |I          |RIGHT-FRONT|10         |3          |EXT-INT    |0          |5          |           |  
MAKE  |L          |LEFT-FRONT |10         |3          |EXT-INT    |0          |5          |           |
MAKE  |M          |FRONT-RIGHT|10         |-15        |EXT-INT    |0          |0          |           |
MAKE  |N          |FRONT-LEFT |10         |2          |INT-EXT    |0          |0          |           |


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |E          |10         |4          |Espell     |005        |005        |800-1000   |           |

WAIT  |1500-2000  |           |           |           |           |           |           |           |

RECALC|           |           |           |           |           |           |           |           |

DROP  |E          |10         |4          |Espell     |005        |005        |800-1000   |           |
DROP  |A-B        |1-10       |3          |giant      |30-50      |0          |50-100     |           |
DROP  |G          |1          |1          |Jspell     |1          |0          |500-600    |           |
DROP  |F          |1          |1          |Jspell     |1          |0          |500-600    |           |
DROP  |C-D        |2-10       |3          |Bowl       |30-50      |0          |600-800    |           |
DROP  |I-L        |2-10       |1          |heal       |30-50      |0          |50-100     |           |
DROP  |A          |1          |2          |CASTLE     |30-50      |0          |50-100     |           |
DROP  |A-B        |3-8        |3          |wiza       |30-50      |0          |50-100     |           |
DROP  |N          |1          |1          |king       |30-50      |0          |50-100     |           |
DROP  |N          |1          |1          |queen      |30-50      |100        |50-100     |           | 
DROP  |N          |1          |1          |warden     |30-50      |100        |50-100     |           | 
DROP  |A          |1          |3          |wall       |0          |0          |50-100     |           |
DROP  |B          |10         |3          |wall       |0          |0          |50-100     |           |
DROP  |A-B        |1-9        |5          |Bowl       |30-50      |0          |600-800    |           |
DROP  |A-B        |1-9        |2          |heal       |30-50      |0          |50-100     |           |
DROP  |A          |1          |5          |Bowl       |30-50      |0          |50-100     |           |
DROP  |G          |10         |1          |Cspell     |1          |0          |100-200    |           |
DROP  |G          |10         |1          |Rspell     |1          |0          |100-200    |           |
DROP  |A          |1          |5          |Bowl       |30-50      |0          |50-100     |           |

      |DEFENSE____|OPTIONS_____|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |EAGLE      |R:T,B:F,S:A |1          |FSpell     |0          |0          |0          |            |

WAIT  |5000-7000  |           |           |           |           |           |           |           |

DROP  |E          |10         |1          |Hspell     |1          |0          |50-100     |           |
DROP  |F          |10         |1          |Rspell     |1          |0          |50-100     |           |
DROP  |N          |1          |1          |warden     |30-50      |100        |50-100     |           | 

      |DEFENSE____|OPTIONS_____|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |INFERNO    |R:T,B:T,S:A |1          |FSpell     |0          |0          |0          |            |

WAIT  |5000-7000  |           |           |           |           |           |           |           |

DROP  |M          |9          |1          |Rspell     |10-50      |0          |100-200    |           |
DROP  |N          |1          |1          |King       |1          |100        |100-200    |           | 

WAIT  |5000-7000  |           |           |           |           |           |           |           |

DROP  |H          |10         |1          |Haspell    |1          |0          |5000-8000  |           |
DROP  |C-D        |2-10       |10         |Arch       |10-30      |100        |100-200    |           |

RECALC|           |           |           |           |           |           |           |           |Recalculate remaining troops

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP REMAINING
DROP  |A          |1-10       |1          |Remain     |0          |0          |100-300    |           |Drop Remain Troops

